seed,simulate,simulate.scenario,simulate.output.file,fit,fit.output.file,mse.err
53,zh,4,zh/zh_212,ridge,ridge/zh_212_ridge_1,251.350035791347
54,zh,1,zh/zh_213,ridge,ridge/zh_213_ridge_1,12.7138251830676
54,zh,2,zh/zh_214,ridge,ridge/zh_214_ridge_1,11.7399111917157
54,zh,3,zh/zh_215,ridge,ridge/zh_215_ridge_1,252.692197586777
54,zh,4,zh/zh_216,ridge,ridge/zh_216_ridge_1,285.162794964789
55,zh,1,zh/zh_217,ridge,ridge/zh_217_ridge_1,10.6724254373497
55,zh,2,zh/zh_218,ridge,ridge/zh_218_ridge_1,10.8967658663183
55,zh,3,zh/zh_219,ridge,ridge/zh_219_ridge_1,256.694005051018
55,zh,4,zh/zh_220,ridge,ridge/zh_220_ridge_1,266.470780758443
56,zh,1,zh/zh_221,ridge,ridge/zh_221_ridge_1,11.1123595210092
56,zh,2,zh/zh_222,ridge,ridge/zh_222_ridge_1,12.1923799904873
56,zh,3,zh/zh_223,ridge,ridge/zh_223_ridge_1,236.639331461064
56,zh,4,zh/zh_224,ridge,ridge/zh_224_ridge_1,256.880487318455
57,zh,1,zh/zh_225,ridge,ridge/zh_225_ridge_1,8.13145792632915
57,zh,2,zh/zh_226,ridge,ridge/zh_226_ridge_1,7.69680911790103
57,zh,3,zh/zh_227,ridge,ridge/zh_227_ridge_1,232.145718253774
57,zh,4,zh/zh_228,ridge,ridge/zh_228_ridge_1,248.788285477076
58,zh,1,zh/zh_229,ridge,ridge/zh_229_ridge_1,13.3002737355429
58,zh,2,zh/zh_230,ridge,ridge/zh_230_ridge_1,11.6894282891365
58,zh,3,zh/zh_231,ridge,ridge/zh_231_ridge_1,241.053783274975
58,zh,4,zh/zh_232,ridge,ridge/zh_232_ridge_1,270.574590117558
59,zh,1,zh/zh_233,ridge,ridge/zh_233_ridge_1,12.0145635777427
59,zh,2,zh/zh_234,ridge,ridge/zh_234_ridge_1,10.7291558932175
59,zh,3,zh/zh_235,ridge,ridge/zh_235_ridge_1,262.158688689757
59,zh,4,zh/zh_236,ridge,ridge/zh_236_ridge_1,271.5742237582
60,zh,1,zh/zh_237,ridge,ridge/zh_237_ridge_1,15.0842771806552
60,zh,2,zh/zh_238,ridge,ridge/zh_238_ridge_1,13.7627682224994
60,zh,3,zh/zh_239,ridge,ridge/zh_239_ridge_1,215.087523145225
60,zh,4,zh/zh_240,ridge,ridge/zh_240_ridge_1,251.593956843623
61,zh,1,zh/zh_241,ridge,ridge/zh_241_ridge_1,12.5235499314771
61,zh,2,zh/zh_242,ridge,ridge/zh_242_ridge_1,11.1561852794037
61,zh,3,zh/zh_243,ridge,ridge/zh_243_ridge_1,259.711472536688
61,zh,4,zh/zh_244,ridge,ridge/zh_244_ridge_1,269.083009033767
62,zh,1,zh/zh_245,ridge,ridge/zh_245_ridge_1,10.6171118075799
62,zh,2,zh/zh_246,ridge,ridge/zh_246_ridge_1,9.65769295290907
62,zh,3,zh/zh_247,ridge,ridge/zh_247_ridge_1,246.756085184452
62,zh,4,zh/zh_248,ridge,ridge/zh_248_ridge_1,267.220035241569
63,zh,1,zh/zh_249,ridge,ridge/zh_249_ridge_1,14.471141191949
63,zh,2,zh/zh_250,ridge,ridge/zh_250_ridge_1,12.7401015907289
63,zh,3,zh/zh_251,ridge,ridge/zh_251_ridge_1,245.460359392992
63,zh,4,zh/zh_252,ridge,ridge/zh_252_ridge_1,238.54377424922
